Lithology       Code      Dept  RHOB         GR        SP         DT
Shale2          1          43   2.52E+00   1.18E+02   8.03E+01   6.75E+02
Shale2          1          44   2.50E+00   1.02E+02   6.94E+01   4.96E+02
Shale2          1          45   2.34E+00   1.14E+02   6.91E+01   6.18E+02
Shale2          1          46   2.46E+00   9.57E+01   6.78E+01   5.01E+02
Shale2          1          47   2.52E+00   1.29E+02   6.00E+01   6.26E+02
Shale2          1          48   2.46E+00   9.07E+01   7.17E+01   4.86E+02
Shale2          1          49   2.52E+00   1.09E+02   7.95E+01   6.63E+02
Shale2          1          50   2.56E+00   1.02E+02   7.27E+01   5.09E+02
Shale2          1          51   2.46E+00   1.06E+02   7.14E+01   6.22E+02
Shale2          1          52   2.49E+00   9.75E+01   6.88E+01   4.74E+02
Shale2          1          53   2.48E+00   1.05E+02   6.00E+01   6.03E+02
Shale2          1          54   2.53E+00   1.01E+02   6.61E+01   5.91E+02
Shale2          1          55   2.49E+00   1.20E+02   7.26E+01   5.91E+02
Shale2          1          56   2.52E+00   9.94E+01   6.72E+01   6.08E+02
Shale2          1          57   2.53E+00   1.13E+02   7.01E+01   5.32E+02
Shale2          1          58   2.50E+00   1.08E+02   7.19E+01   6.01E+02
Shale2          1          59   2.47E+00   1.29E+02   6.78E+01   5.80E+02
Shale2          1          60   2.49E+00   1.13E+02   7.19E+01   5.76E+02
Shale2          1          61   2.57E+00   1.14E+02   7.21E+01   4.76E+02
Shale2          1          62   2.44E+00   1.19E+02   7.15E+01   6.08E+02
Shale2          1          63   2.52E+00   1.08E+02   7.84E+01   4.70E+02
Shale2          1          64   2.51E+00   1.13E+02   5.45E+01   5.60E+02
Shale2          1          65   2.54E+00   9.75E+01   6.61E+01   5.65E+02
Shale2          1          66   2.50E+00   9.77E+01   7.78E+01   5.43E+02
Shale2          1          67   2.43E+00   1.26E+02   5.25E+01   5.67E+02
Shale2          1          68   2.43E+00   1.11E+02   7.32E+01   5.48E+02
Shale2          1          69   2.43E+00   1.02E+02   5.99E+01   5.60E+02
Shale2          1          70   2.46E+00   1.05E+02   6.91E+01   4.93E+02
Shale2          1          71   2.50E+00   1.01E+02   7.03E+01   5.65E+02
Shale2          1          72   2.53E+00   9.44E+01   5.69E+01   4.99E+02
Shale2          1          73   2.56E+00   1.07E+02   6.86E+01   5.19E+02
Shale2          1          74   2.49E+00   1.08E+02   5.96E+01   3.91E+02
Shale2          1          75   2.52E+00   1.15E+02   7.37E+01   5.59E+02
Shale2          1          76   2.48E+00   1.03E+02   7.28E+01   5.48E+02
Shale2          1          77   2.45E+00   1.17E+02   6.18E+01   5.45E+02
Shale2          1          78   2.48E+00   1.08E+02   7.41E+01   4.61E+02
Shale2          1          79   2.55E+00   1.10E+02   7.03E+01   5.84E+02
Shale2          1          80   2.51E+00   1.09E+02   6.58E+01   4.97E+02
Shale2          1          81   2.51E+00   1.12E+02   7.96E+01   4.93E+02
Shale2          1          82   2.50E+00   1.07E+02   7.26E+01   5.40E+02
Shale2          1          83   2.45E+00   1.10E+02   6.69E+01   5.75E+02
Shale2          1          84   2.48E+00   1.15E+02   6.83E+01   6.51E+02
Shale2          1          85   2.44E+00   9.93E+01   6.64E+01   5.58E+02
Shale2          1          86   2.52E+00   1.12E+02   7.79E+01   4.79E+02
Shale2          1          87   2.45E+00   1.21E+02   7.10E+01   5.69E+02
Shale2          1          88   2.40E+00   1.12E+02   7.28E+01   6.03E+02
Shale2          1          89   2.51E+00   9.64E+01   7.69E+01   4.18E+02
Shale2          1          90   2.50E+00   1.17E+02   7.94E+01   5.88E+02
Shale2          1          91   2.53E+00   9.73E+01   7.60E+01   5.56E+02
Shale2          1          92   2.46E+00   1.30E+02   8.00E+01   5.47E+02
Shale2          1          93   2.51E+00   9.85E+01   6.65E+01   6.14E+02
Dolomite        2          94   2.50E+00   4.20E+01  -5.86E+01   1.36E+02
Dolomite        2          95   2.50E+00   3.90E+01  -7.44E+01   1.32E+02
Dolomite        2          96   2.55E+00   3.17E+01  -5.08E+01   1.56E+02
Dolomite        2          97   2.57E+00   4.17E+01  -5.90E+01   1.39E+02
Dolomite        2          98   2.51E+00   4.74E+01  -5.86E+01   1.69E+02
Dolomite        2          99   2.57E+00   3.19E+01  -5.27E+01   1.25E+02
Dolomite        2         100   2.54E+00   4.02E+01  -5.85E+01   1.47E+02
Dolomite        2         101   2.51E+00   4.19E+01  -6.66E+01   1.45E+02
Dolomite        2         102   2.57E+00   4.15E+01  -6.74E+01   1.45E+02
Dolomite        2         103   2.48E+00   3.42E+01  -4.59E+01   1.55E+02
Dolomite        2         104   2.52E+00   3.49E+01  -5.14E+01   1.26E+02
Dolomite        2         105   2.67E+00   4.19E+01  -4.83E+01   1.44E+02
Dolomite        2         106   2.50E+00   4.18E+01  -5.86E+01   1.30E+02
Dolomite        2         107   2.45E+00   3.52E+01  -4.55E+01   1.56E+02
Dolomite        2         108   2.51E+00   3.47E+01  -5.33E+01   1.30E+02
Dolomite        2         109   2.50E+00   4.02E+01  -4.86E+01   1.21E+02
Dolomite        2         110   2.48E+00   3.97E+01  -5.45E+01   1.38E+02
Dolomite        2         111   2.51E+00   3.67E+01  -6.25E+01   1.34E+02
Dolomite        2         112   2.56E+00   3.97E+01  -6.73E+01   1.36E+02
Dolomite        2         113   2.39E+00   4.18E+01  -5.73E+01   1.35E+02
Dolomite        2         114   2.47E+00   3.51E+01  -6.43E+01   1.24E+02
Dolomite        2         115   2.44E+00   3.96E+01  -6.76E+01   1.55E+02
Dolomite        2         116   2.55E+00   4.13E+01  -7.30E+01   1.36E+02
Dolomite        2         117   2.62E+00   4.01E+01  -6.29E+01   1.42E+02
Dolomite        2         118   2.53E+00   3.46E+01  -6.48E+01   1.26E+02
Dolomite        2         119   2.55E+00   3.33E+01  -5.32E+01   1.27E+02
Dolomite        2         120   2.54E+00   4.48E+01  -7.28E+01   1.28E+02
Dolomite        2         121   2.52E+00   4.35E+01  -5.46E+01   1.57E+02
Dolomite        2         122   2.41E+00   3.78E+01  -6.53E+01   1.55E+02
Dolomite        2         123   2.40E+00   3.77E+01  -5.19E+01   1.75E+02
Dolomite        2         124   2.43E+00   4.34E+01  -5.64E+01   1.57E+02
Dolomite        2         125   2.54E+00   4.99E+01  -6.09E+01   1.42E+02
Dolomite        2         126   2.50E+00   4.28E+01  -7.10E+01   1.23E+02
Dolomite        2         127   2.43E+00   4.21E+01  -6.90E+01   1.61E+02
Dolomite        2         128   2.40E+00   4.16E+01  -6.84E+01   1.54E+02
Dolomite        2         129   2.43E+00   4.01E+01  -6.21E+01   1.37E+02
Dolomite        2         130   2.52E+00   3.81E+01  -6.37E+01   1.48E+02
Dolomite        2         131   2.48E+00   3.10E+01  -5.66E+01   1.33E+02
Dolomite        2         132   2.49E+00   3.51E+01  -5.74E+01   1.31E+02
Dolomite        2         133   2.43E+00   3.78E+01  -5.93E+01   1.40E+02
Dolomite        2         134   2.52E+00   3.65E+01  -6.19E+01   1.74E+02
Dolomite        2         135   2.52E+00   4.50E+01  -6.30E+01   1.22E+02
Dolomite        2         136   2.52E+00   3.85E+01  -6.80E+01   1.55E+02
Dolomite        2         137   2.50E+00   4.00E+01  -6.05E+01   1.57E+02
Dolomite        2         138   2.50E+00   4.14E+01  -6.07E+01   1.24E+02
Dolomite        2         139   2.40E+00   4.17E+01  -6.27E+01   1.71E+02
Dolomite        2         140   2.39E+00   4.61E+01  -6.71E+01   1.50E+02
Dolomite        2         141   2.43E+00   4.55E+01  -6.24E+01   1.39E+02
Dolomite        2         142   2.49E+00   3.87E+01  -5.41E+01   1.22E+02
Dolomite        2         143   2.52E+00   4.47E+01  -6.07E+01   1.73E+02
Dolomite        2         144   2.48E+00   4.58E+01  -6.68E+01   1.42E+02
Dolomite        2         145   2.52E+00   4.74E+01  -4.03E+01   1.47E+02
Dolomite        2         146   2.43E+00   4.55E+01  -4.61E+01   1.56E+02
Diabase         3         147   2.81E+00   3.10E+01   4.83E+00   4.75E+01
Diabase         3         148   2.76E+00   2.88E+01   5.35E+00   5.40E+01
Diabase         3         149   2.88E+00   2.92E+01   6.28E+00   4.78E+01
Diabase         3         150   2.81E+00   2.71E+01   5.10E+00   5.87E+01
Diabase         3         151   2.86E+00   2.86E+01   4.86E+00   5.43E+01
Diabase         3         152   2.81E+00   2.98E+01   5.41E+00   5.00E+01
Diabase         3         153   2.83E+00   3.29E+01   5.16E+00   5.34E+01
Diabase         3         154   2.75E+00   2.52E+01   4.98E+00   4.65E+01
Diabase         3         155   2.79E+00   2.27E+01   5.29E+00   4.07E+01
Diabase         3         156   2.98E+00   3.02E+01   5.16E+00   4.44E+01
Diabase         3         157   2.85E+00   2.62E+01   4.58E+00   5.28E+01
Diabase         3         158   2.83E+00   3.39E+01   3.47E+00   5.03E+01
Diabase         3         159   2.86E+00   3.35E+01   5.43E+00   5.14E+01
Diabase         3         160   2.86E+00   2.94E+01   5.56E+00   5.67E+01
Diabase         3         161   2.80E+00   2.64E+01   4.66E+00   5.07E+01
Diabase         3         162   2.78E+00   3.66E+01   5.61E+00   3.92E+01
Diabase         3         163   2.80E+00   2.85E+01   5.42E+00   4.76E+01
Diabase         3         164   2.87E+00   3.34E+01   4.27E+00   3.94E+01
Diabase         3         165   2.92E+00   3.26E+01   5.34E+00   4.51E+01
Diabase         3         166   2.88E+00   3.31E+01   4.69E+00   5.43E+01
Diabase         3         167   2.77E+00   2.66E+01   5.12E+00   4.30E+01
Diabase         3         168   2.77E+00   2.94E+01   4.99E+00   5.06E+01
Dolomite        2         169   2.51E+00   4.24E+01  -6.21E+01   1.60E+02
Dolomite        2         170   2.46E+00   3.53E+01  -5.16E+01   1.31E+02
Dolomite        2         171   2.59E+00   4.45E+01  -5.26E+01   1.24E+02
Dolomite        2         172   2.49E+00   4.58E+01  -5.52E+01   1.35E+02
Dolomite        2         173   2.52E+00   3.65E+01  -6.95E+01   1.27E+02
Dolomite        2         174   2.51E+00   4.32E+01  -4.83E+01   1.37E+02
Dolomite        2         175   2.43E+00   3.90E+01  -5.98E+01   1.45E+02
Dolomite        2         176   2.48E+00   3.79E+01  -5.14E+01   1.52E+02
Dolomite        2         177   2.53E+00   3.48E+01  -6.15E+01   1.29E+02
Dolomite        2         178   2.63E+00   3.55E+01  -5.28E+01   1.33E+02
Dolomite        2         179   2.45E+00   3.76E+01  -5.93E+01   1.52E+02
Dolomite        2         180   2.48E+00   4.95E+01  -5.40E+01   1.29E+02
Dolomite        2         181   2.43E+00   3.69E+01  -5.53E+01   1.57E+02
Dolomite        2         182   2.45E+00   3.18E+01  -6.50E+01   1.45E+02
Dolomite        2         183   2.51E+00   4.12E+01  -6.64E+01   1.24E+02
Dolomite        2         184   2.53E+00   4.35E+01  -5.21E+01   1.37E+02
Dolomite        2         185   2.50E+00   4.16E+01  -5.93E+01   1.58E+02
Dolomite        2         186   2.46E+00   3.46E+01  -5.26E+01   1.41E+02
Dolomite        2         187   2.52E+00   3.16E+01  -6.55E+01   1.25E+02
Dolomite        2         188   2.38E+00   3.78E+01  -6.12E+01   1.43E+02
Dolomite        2         189   2.44E+00   4.37E+01  -5.04E+01   1.41E+02
Dolomite        2         190   2.53E+00   4.13E+01  -6.84E+01   1.45E+02
Dolomite        2         191   2.48E+00   3.26E+01  -5.18E+01   1.57E+02
Dolomite        2         192   2.57E+00   4.49E+01  -6.59E+01   1.68E+02
Dolomite        2         193   2.45E+00   4.07E+01  -5.97E+01   9.78E+01
Dolomite        2         194   2.47E+00   3.90E+01  -6.12E+01   1.33E+02
Dolomite        2         195   2.34E+00   4.35E+01  -5.82E+01   1.66E+02
Dolomite        2         196   2.46E+00   3.30E+01  -6.03E+01   1.40E+02
Dolomite        2         197   2.58E+00   3.57E+01  -5.94E+01   1.12E+02
Dolomite        2         198   2.48E+00   3.48E+01  -5.37E+01   1.25E+02
Dolomite        2         199   2.50E+00   4.07E+01  -6.15E+01   1.37E+02
Dolomite        2         200   2.60E+00   4.12E+01  -6.68E+01   1.24E+02
Dolomite        2         201   2.61E+00   3.59E+01  -5.48E+01   1.40E+02
Dolomite        2         202   2.43E+00   3.13E+01  -6.63E+01   1.52E+02
Dolomite        2         203   2.51E+00   4.18E+01  -5.39E+01   1.25E+02
Dolomite        2         204   2.49E+00   4.80E+01  -4.77E+01   1.42E+02
Dolomite        2         205   2.56E+00   4.09E+01  -4.06E+01   1.45E+02
Dolomite        2         206   2.44E+00   3.73E+01  -6.58E+01   1.31E+02
Dolomite        2         207   2.47E+00   4.14E+01  -6.06E+01   1.46E+02
Dolomite        2         208   2.48E+00   4.31E+01  -6.30E+01   1.49E+02
Dolomite        2         209   2.54E+00   4.25E+01  -5.41E+01   1.61E+02
Dolomite        2         210   2.50E+00   3.99E+01  -6.22E+01   1.30E+02
Dolomite        2         211   2.49E+00   3.13E+01  -5.73E+01   1.08E+02
Dolomite        2         212   2.47E+00   4.11E+01  -5.96E+01   1.41E+02
Dolomite        2         213   2.38E+00   3.89E+01  -6.62E+01   1.59E+02
Dolomite        2         214   2.50E+00   4.44E+01  -6.45E+01   1.61E+02
Dolomite        2         215   2.56E+00   3.49E+01  -6.04E+01   1.77E+02
Dolomite        2         216   2.45E+00   4.43E+01  -4.85E+01   1.21E+02
Dolomite        2         217   2.51E+00   4.47E+01  -5.91E+01   1.56E+02
Dolomite        2         218   2.53E+00   4.44E+01  -5.83E+01   1.53E+02
Dolomite        2         219   2.56E+00   4.51E+01  -5.69E+01   1.53E+02
Dolomite        2         220   2.51E+00   3.56E+01  -5.69E+01   1.40E+02
Dolomite        2         221   2.45E+00   4.22E+01  -6.63E+01   1.76E+02
Dolomite        2         222   2.48E+00   4.28E+01  -6.71E+01   1.52E+02
Dolomite        2         223   2.49E+00   4.55E+01  -6.13E+01   1.39E+02
Dolomite        2         224   2.55E+00   4.11E+01  -5.98E+01   1.58E+02
Dolomite        2         225   2.50E+00   3.67E+01  -6.39E+01   1.23E+02
Dolomite        2         226   2.49E+00   3.87E+01  -5.72E+01   1.27E+02
Dolomite        2         227   2.48E+00   3.85E+01  -5.79E+01   1.60E+02
Dolomite        2         228   2.38E+00   4.50E+01  -5.73E+01   1.60E+02
Dolomite        2         229   2.50E+00   4.09E+01  -5.86E+01   1.24E+02
Dolomite        2         230   2.48E+00   4.12E+01  -6.09E+01   1.23E+02
Shale1          6         231   2.55E+00   2.20E+02   6.97E+01   5.32E+02
Shale1          6         232   2.56E+00   2.45E+02   5.43E+01   5.05E+02
Shale1          6         233   2.62E+00   2.02E+02   7.16E+01   5.89E+02
Shale1          6         234   2.55E+00   1.98E+02   8.30E+01   4.46E+02
Shale1          6         235   2.63E+00   2.06E+02   5.98E+01   4.50E+02
Shale1          6         236   2.56E+00   2.46E+02   6.69E+01   6.03E+02
Shale1          6         237   2.63E+00   2.10E+02   6.73E+01   4.67E+02
Shale1          6         238   2.58E+00   2.32E+02   7.77E+01   5.27E+02
Shale1          6         239   2.53E+00   2.36E+02   6.70E+01   5.74E+02
Shale1          6         240   2.60E+00   1.93E+02   6.88E+01   4.55E+02
Shale1          6         241   2.54E+00   2.22E+02   6.16E+01   5.45E+02
Shale1          6         242   2.59E+00   2.61E+02   8.53E+01   5.52E+02
Shale1          6         243   2.56E+00   2.59E+02   6.13E+01   4.47E+02
Shale1          6         244   2.56E+00   2.16E+02   6.68E+01   6.33E+02
Shale1          6         245   2.69E+00   2.67E+02   6.79E+01   6.29E+02
Shale1          6         246   2.65E+00   2.38E+02   7.08E+01   5.07E+02
Shale1          6         247   2.66E+00   1.97E+02   8.14E+01   5.03E+02
Shale1          6         248   2.60E+00   2.78E+02   6.94E+01   4.67E+02
Shale1          6         249   2.58E+00   2.38E+02   7.22E+01   5.17E+02
Shale1          6         250   2.57E+00   2.19E+02   5.73E+01   4.50E+02
Shale1          6         251   2.62E+00   1.97E+02   7.73E+01   5.62E+02
Shale1          6         252   2.65E+00   2.55E+02   7.15E+01   5.76E+02
Shale1          6         253   2.66E+00   1.79E+02   6.82E+01   5.36E+02
Shale1          6         254   2.65E+00   2.46E+02   7.96E+01   5.37E+02
Shale1          6         255   2.53E+00   2.52E+02   6.17E+01   5.63E+02
Shale1          6         256   2.61E+00   2.47E+02   6.79E+01   4.71E+02
Shale1          6         257   2.57E+00   2.25E+02   6.28E+01   5.21E+02
Shale1          6         258   2.51E+00   2.46E+02   7.46E+01   4.59E+02
Shale1          6         259   2.50E+00   2.45E+02   6.87E+01   5.07E+02
Shale1          6         260   2.57E+00   2.47E+02   7.43E+01   4.94E+02
Shale1          6         261   2.48E+00   2.54E+02   5.32E+01   6.20E+02
Shale1          6         262   2.61E+00   2.87E+02   7.16E+01   4.55E+02
Shale1          6         263   2.61E+00   2.31E+02   7.00E+01   5.90E+02
Halite          7         264   2.10E+00   1.12E+01   7.36E+00   2.11E+02
Halite          7         265   2.14E+00   1.07E+01   6.26E+00   2.26E+02
Halite          7         266   2.17E+00   9.66E+00   6.80E+00   2.42E+02
Halite          7         267   2.08E+00   1.18E+01   5.51E+00   1.99E+02
Halite          7         268   2.14E+00   1.11E+01   5.15E+00   2.29E+02
Halite          7         269   2.16E+00   1.08E+01   6.20E+00   2.03E+02
Halite          7         270   2.16E+00   9.60E+00   5.18E+00   2.00E+02
Halite          7         271   2.11E+00   9.93E+00   5.89E+00   2.06E+02
Halite          7         272   2.14E+00   1.22E+01   5.48E+00   2.14E+02
Halite          7         273   2.07E+00   1.07E+01   5.82E+00   2.54E+02
Halite          7         274   2.16E+00   1.22E+01   5.60E+00   2.40E+02
Halite          7         275   2.21E+00   1.02E+01   5.71E+00   2.51E+02
Halite          7         276   2.20E+00   9.66E+00   5.86E+00   2.43E+02
Halite          7         277   2.20E+00   1.14E+01   6.36E+00   2.20E+02
Halite          7         278   2.28E+00   1.08E+01   7.19E+00   2.07E+02
Halite          7         279   2.13E+00   1.09E+01   5.45E+00   2.24E+02
Halite          7         280   2.16E+00   1.21E+01   7.05E+00   2.63E+02
Halite          7         281   2.17E+00   1.24E+01   6.59E+00   2.16E+02
Halite          7         282   2.20E+00   1.09E+01   5.99E+00   2.04E+02
Halite          7         283   2.17E+00   1.14E+01   6.04E+00   2.24E+02
Halite          7         284   2.21E+00   8.71E+00   6.06E+00   2.45E+02
Halite          7         285   2.18E+00   1.30E+01   7.45E+00   1.98E+02
Halite          7         286   2.19E+00   1.02E+01   7.48E+00   2.26E+02
Halite          7         287   2.16E+00   9.22E+00   5.69E+00   2.27E+02
Halite          7         288   2.17E+00   1.13E+01   5.71E+00   2.11E+02
Halite          7         289   2.13E+00   9.79E+00   6.75E+00   1.74E+02
Halite          7         290   2.26E+00   1.05E+01   5.49E+00   2.07E+02
Halite          7         291   2.18E+00   1.36E+01   7.13E+00   2.21E+02
Halite          7         292   2.08E+00   1.23E+01   6.20E+00   1.85E+02
Halite          7         293   2.13E+00   1.08E+01   7.27E+00   2.04E+02
Halite          7         294   2.14E+00   1.05E+01   6.97E+00   2.48E+02
Halite          7         295   2.21E+00   1.21E+01   5.89E+00   2.34E+02
Halite          7         296   2.20E+00   1.07E+01   6.31E+00   2.11E+02
Halite          7         297   2.14E+00   9.70E+00   5.20E+00   2.10E+02
Halite          7         298   2.13E+00   1.09E+01   6.44E+00   2.13E+02
Halite          7         299   2.20E+00   9.35E+00   6.05E+00   2.41E+02
Halite          7         300   2.11E+00   9.31E+00   6.45E+00   2.26E+02
Halite          7         301   2.21E+00   1.04E+01   7.41E+00   2.12E+02
Halite          7         302   2.14E+00   1.21E+01   6.67E+00   2.03E+02
Halite          7         303   2.23E+00   1.02E+01   5.62E+00   2.21E+02
Halite          7         304   2.11E+00   1.02E+01   7.11E+00   2.13E+02
Halite          7         305   2.17E+00   1.23E+01   5.59E+00   2.24E+02
Halite          7         306   2.14E+00   1.23E+01   6.78E+00   2.29E+02
Basalt         10         307   2.79E+00   1.39E+01   5.15E+01   7.64E+01
Basalt         10         308   2.89E+00   1.33E+01   5.59E+01   5.64E+01
Basalt         10         309   2.80E+00   1.18E+01   4.37E+01   7.76E+01
Basalt         10         310   2.95E+00   1.48E+01   6.14E+01   4.96E+01
Basalt         10         311   2.83E+00   1.64E+01   4.86E+01   6.90E+01
Basalt         10         312   2.82E+00   1.42E+01   3.86E+01   6.64E+01
Basalt         10         313   2.90E+00   1.64E+01   4.06E+01   7.59E+01
Basalt         10         314   2.92E+00   1.46E+01   4.14E+01   5.22E+01
Basalt         10         315   2.86E+00   1.34E+01   4.00E+01   5.52E+01
Basalt         10         316   2.95E+00   1.28E+01   4.44E+01   6.10E+01
Basalt         10         317   2.94E+00   1.40E+01   4.86E+01   6.11E+01
Basalt         10         318   2.83E+00   1.70E+01   4.42E+01   6.41E+01
Basalt         10         319   2.86E+00   1.68E+01   5.68E+01   7.04E+01
Basalt         10         320   2.97E+00   1.31E+01   4.87E+01   7.97E+01
Basalt         10         321   2.90E+00   1.57E+01   5.20E+01   6.74E+01
Basalt         10         322   2.69E+00   1.14E+01   4.87E+01   6.33E+01
Basalt         10         323   2.91E+00   1.47E+01   5.48E+01   7.94E+01
Basalt         10         324   2.97E+00   1.68E+01   5.08E+01   6.40E+01
Basalt         10         325   2.86E+00   1.44E+01   4.92E+01   8.00E+01
Basalt         10         326   2.87E+00   1.66E+01   6.13E+01   6.65E+01
Basalt         10         327   2.89E+00   1.32E+01   5.35E+01   6.16E+01
Basalt         10         328   2.81E+00   1.70E+01   4.88E+01   7.75E+01
Basalt         10         329   2.85E+00   1.63E+01   5.36E+01   6.77E+01
Basalt         10         330   2.85E+00   1.37E+01   3.26E+01   5.55E+01
Basalt         10         331   2.91E+00   1.48E+01   5.27E+01   5.89E+01
Basalt         10         332   2.90E+00   1.52E+01   4.53E+01   6.10E+01
Basalt         10         333   2.75E+00   1.63E+01   5.02E+01   6.60E+01
Basalt         10         334   2.92E+00   1.59E+01   5.17E+01   5.87E+01
Basalt         10         335   2.79E+00   1.40E+01   4.81E+01   8.55E+01
Basalt         10         336   2.74E+00   1.17E+01   4.31E+01   6.94E+01
Basalt         10         337   2.93E+00   1.45E+01   4.55E+01   6.23E+01
Basalt         10         338   2.87E+00   1.33E+01   4.58E+01   5.77E+01
Conglomerate    4         339   2.15E+00   2.28E+01  -5.13E+01   1.21E+02
Conglomerate    4         340   2.31E+00   1.83E+01  -4.44E+01   1.16E+02
Conglomerate    4         341   2.24E+00   1.92E+01  -4.25E+01   1.05E+02
Conglomerate    4         342   2.34E+00   2.28E+01  -4.55E+01   1.05E+02
Conglomerate    4         343   2.40E+00   1.90E+01  -3.72E+01   1.14E+02
Conglomerate    4         344   2.30E+00   2.07E+01  -4.33E+01   1.08E+02
Conglomerate    4         345   2.34E+00   2.04E+01  -3.84E+01   1.25E+02
Conglomerate    4         346   2.37E+00   2.03E+01  -3.47E+01   9.36E+01
Conglomerate    4         347   2.20E+00   1.97E+01  -3.30E+01   9.59E+01
Conglomerate    4         348   2.26E+00   1.72E+01  -4.26E+01   1.10E+02
Conglomerate    4         349   2.25E+00   1.86E+01  -3.97E+01   9.72E+01
Conglomerate    4         350   2.24E+00   2.20E+01  -3.16E+01   9.84E+01
Conglomerate    4         351   2.30E+00   1.75E+01  -4.37E+01   1.05E+02
Conglomerate    4         352   2.37E+00   1.98E+01  -3.87E+01   1.17E+02
Conglomerate    4         353   2.41E+00   1.91E+01  -4.38E+01   8.55E+01
Conglomerate    4         354   2.31E+00   1.85E+01  -4.02E+01   1.14E+02
Conglomerate    4         355   2.36E+00   2.08E+01  -4.20E+01   1.09E+02
Conglomerate    4         356   2.40E+00   1.74E+01  -3.80E+01   1.28E+02
Conglomerate    4         357   2.36E+00   1.72E+01  -3.93E+01   1.27E+02
Conglomerate    4         358   2.34E+00   1.93E+01  -3.62E+01   1.04E+02
Conglomerate    4         359   2.24E+00   2.19E+01  -4.17E+01   1.07E+02
Conglomerate    4         360   2.36E+00   2.12E+01  -3.56E+01   1.25E+02
Conglomerate    4         361   2.29E+00   1.99E+01  -4.02E+01   1.01E+02
Conglomerate    4         362   2.45E+00   2.24E+01  -4.02E+01   1.08E+02
Conglomerate    4         363   2.26E+00   2.08E+01  -4.39E+01   1.06E+02
Conglomerate    4         364   2.30E+00   1.58E+01  -4.71E+01   1.06E+02
Conglomerate    4         365   2.33E+00   2.07E+01  -4.20E+01   1.16E+02
Conglomerate    4         366   2.26E+00   2.20E+01  -4.56E+01   8.32E+01
Conglomerate    4         367   2.29E+00   2.28E+01  -4.13E+01   1.17E+02
Conglomerate    4         368   2.35E+00   1.88E+01  -3.40E+01   9.94E+01
Conglomerate    4         369   2.46E+00   2.06E+01  -3.66E+01   1.12E+02
